Kod;Nazwa;Cena;C. zakupu-PLN;Stan zasobów;Ilość;Jm;Typ;Ilość dostępna;Ilość minimalna;Rezerwacje;Braki;Zamówienia;Wartość-PLN
PRZEWÓD YDY 3X1.5 ŻO;Przewód YDY 3x1.5 żo 450/750V;2,83;2,57;Stan towaru powyżej ilości minimalnej;400,00;mb;TP;400,00;0,00;0,00;0,00;0,00;1 132,00
PRZEWÓD YDY 3X2.5 ŻO;Przewód YDY 3x2.5 żo 450/750V;4,17;3,79;Stan towaru powyżej ilości minimalnej;200,00;mb;TP;200,00;0,00;0,00;0,00;0,00;834,00
PS-100/100(PL);Nakładka siodłowa PS-100/100;4,73;0,01;Stan towaru powyżej ilości minimalnej;945,00;SZT;TZ;945,00;3,50;0,00;0,00;0,00;4 469,85
PS-100/80;Nakładka siodłowa PS-100/80;4,54;0,01;Stan towaru powyżej ilości minimalnej;20,00;SZT;TP;20,00;1,50;0,00;0,00;0,00;90,80
PS-1000/800;Nakładka siodłowa PS-1000/800;53,18;44,32;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;53,18
PS-125/100 (CN);Nakładka siodłowa PS-125/100;6,96;0,01;Stan towaru powyżej ilości minimalnej;507,00;SZT;TP;507,00;3,00;0,00;0,00;8,00;3 528,72
PS-125/125;Nakładka siodłowa PS-125/125;5,99;4,00;Stan towaru powyżej ilości minimalnej;139,00;SZT;TP;139,00;91,00;0,00;0,00;415,00;832,61
PS-125/80;Nakładka siodłowa PS-125/80;5,71;4,39;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;5,71
PS-160/100 (CN);Nakładka siodłowa PS-160/100;4,73;0,01;Stan towaru powyżej ilości minimalnej;1 013,00;SZT;TP;1 013,00;12,00;0,00;0,00;18,00;4 791,49
PS-160/125;Nakładka siodłowa PS-160/125;5,28;4,00;Stan towaru powyżej ilości minimalnej;212,00;SZT;TP;212,00;117,00;0,00;0,00;515,00;1 119,36
PS-160/160 (CN);Nakładka siodłowa PS-160/160;6,98;0,01;Stan towaru powyżej ilości minimalnej;685,00;SZT;TP;685,00;13,00;0,00;0,00;2,00;4 781,30
PS-160/80;Nakładka siodłowa PS-160/80;4,42;3,68;Stan towaru powyżej ilości minimalnej;58,00;SZT;TP;58,00;0,00;0,00;0,00;0,00;256,36
PS-200/100 (CN);Nakładka siodłowa PS-200/100;4,73;0,01;Stan towaru powyżej ilości minimalnej;393,00;SZT;TP;393,00;6,00;0,00;0,00;0,00;1 858,89
PS-200/125;Nakładka siodłowa PS-200/125;5,39;4,40;Stan towaru powyżej ilości minimalnej;237,00;SZT;TP;237,00;172,50;0,00;0,00;466,00;1 277,43
PS-200/160 (CN);Nakładka siodłowa PS-200/160;7,85;0,01;Stan towaru powyżej ilości minimalnej;1 696,00;SZT;TP;1 696,00;9,00;0,00;0,00;15,00;13 313,60
PS-200/200 (CN);Nakładka siodłowa PS-200/200;10,30;0,01;Stan towaru powyżej ilości minimalnej;1 605,00;SZT;TP;1 605,00;18,00;0,00;0,00;7,00;16 531,50
PS-200/250;Nakładka siodłowa PS-200/250 (na rurę 200, odejście 250);10,29;8,17;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;30,87
PS-200/80;Nakładka siodłowa PS-200/80;9,26;0,01;Stan towaru powyżej ilości minimalnej;18,00;SZT;TP;18,00;0,00;0,00;0,00;0,00;166,68
PS-250/100;Nakładka siodłowa PS-250/100;4,82;3,89;Stan towaru powyżej ilości minimalnej;32,00;SZT;TP;32,00;1,00;0,00;0,00;55,00;154,24
PS-250/125;Nakładka siodłowa PS-250/125;5,99;4,90;Stan towaru powyżej ilości minimalnej;194,00;SZT;TP;194,00;137,00;0,00;0,00;440,00;1 162,06
PS-250/160;Nakładka siodłowa PS-250/160;8,99;7,49;Stan towaru powyżej ilości minimalnej;48,00;SZT;TP;48,00;1,50;0,00;0,00;56,00;431,52
PS-250/200;Nakładka siodłowa PS-250/200;11,66;9,64;Stan towaru poniżej ilości minimalnej;15,00;SZT;TP;15,00;17,50;0,00;0,00;45,00;174,90
PS-250/250;Nakładka siodłowa PS-250/250;18,42;16,81;Stan towaru powyżej ilości minimalnej;26,00;SZT;TP;26,00;2,00;0,00;0,00;10,00;478,92
PS-315/100;Nakładka siodłowa PS-315/100;5,06;3,89;Stan towaru powyżej ilości minimalnej;17,00;SZT;TP;17,00;0,50;0,00;0,00;2,00;86,02
PS-315/125;Nakładka siodłowa PS-315/125;5,59;4,50;Stan towaru powyżej ilości minimalnej;80,00;SZT;TP;80,00;58,00;0,00;0,00;0,00;447,20
PS-315/160;Nakładka siodłowa PS-315/160;9,89;7,49;Stan towaru powyżej ilości minimalnej;22,00;SZT;TP;22,00;1,50;0,00;0,00;40,00;217,58
PS-315/200;Nakładka siodłowa PS-315/200;15,85;13,21;Stan towaru powyżej ilości minimalnej;25,00;SZT;TP;25,00;7,50;0,00;0,00;15,00;396,25
PS-315/250;Nakładka siodłowa PS-315/250;18,07;15,06;Stan towaru powyżej ilości minimalnej;37,00;SZT;TP;37,00;1,50;0,00;0,00;15,00;668,59
PS-315/315;Nakładka siodłowa PS-315/315;24,32;20,27;Stan towaru powyżej ilości minimalnej;24,00;SZT;TP;24,00;0,00;0,00;0,00;20,00;583,68
PS-315/315X;Nakładka siodłowa nierdzewna PS-315/315X;90,35;75,29;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;180,70
PS-355/250;Nakładka siodłowa PS-355/250;38,81;32,34;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;23,00;271,67
PS-355/315;Nakładka siodłowa PS-355/315;47,05;37,64;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;6,00;141,15
PS-355/355;Nakładka siodłowa PS-355/355;73,90;49,26;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;6,00;591,20
PS-400/200;Nakładka siodłowa PS-400/200 (450/355/200);12,19;9,72;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;1,00;0,00;0,00;12,00;12,19
PS-400/250;Nakładka siodłowa PS-400/250;20,88;17,40;Stan towaru powyżej ilości minimalnej;12,00;SZT;TP;12,00;1,00;0,00;0,00;108,00;250,56
PS-400/315;Nakładka siodłowa PS-400/315;49,93;0,01;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,50;0,00;0,00;35,00;299,58
PS-400/355;Nakładka siodłowa PS-400/355;70,32;0,01;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;0,00;492,24
PS-400/400;Nakładka siodłowa PS-400/400;53,75;43,00;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;5,00;161,25
PS-450/315;Nakładka siodłowa PS-450/315;33,17;27,64;Stan towaru powyżej ilości minimalnej;10,00;SZT;TP;10,00;0,00;0,00;0,00;4,00;331,70
PS-450/355;Nakładka siodłowa PS-450/355;71,27;0,01;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;4,00;570,16
PS-450/400;Nakładka siodłowa PS-450/400;83,51;60,74;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;751,59
PS-450/450;Nakładka siodłowa PS-450/450;92,98;77,48;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;0,00;743,84
PS-500/200;Nakładka siodłowa PS-500/200;45,60;38,00;Stan towaru powyżej ilości minimalnej;11,00;SZT;TP;11,00;0,00;0,00;0,00;5,00;501,60
PS-500/315;Nakładka siodłowa PS-500/315;33,17;27,64;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;4,00;232,19
PS-500/355;Nakładka siodłowa PS-500/355;86,40;0,01;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;777,60
PS-500/450;Nakładka siodłowa PS-500/450;52,62;0,01;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;263,10
PS-500/500;Nakładka siodłowa PS-500/500;61,20;51,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,00;0,00;0,00;0,00;244,80
PS-560/355;Nakładka siodłowa PS-560/355;89,35;74,46;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;89,35
PS-630/160;Nakładka siodłowa PS-630/160;41,46;36,05;Stan towaru powyżej ilości minimalnej;14,00;SZT;TP;14,00;0,00;0,00;0,00;0,00;580,44
PS-800/160;Nakładka siodłowa PS-800/160;49,13;0,01;Stan towaru powyżej ilości minimalnej;20,00;SZT;TP;20,00;0,00;0,00;0,00;0,00;982,60
PS-800/560;Nakładka siodłowa PS-800/560;94,28;78,57;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;94,28
PVC ADF 450 WSPORNIK;Wspornik pod skraplacz PVC ADF 450;28,00;23,00;Stan towaru poniżej ilości minimalnej;5,00;SZT;TP;5,00;6,50;0,00;0,00;0,00;140,00
RCA-125/100;Redukcja asymetryczna RCA-125/100;16,28;10,86;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;4,00;32,56
RCA-200/100;Redukcja asymetryczna RCA-200/100;23,53;19,61;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;23,53
RCA-200/160;Redukcja asymetryczna RCA-200/160;12,56;0,01;Stan towaru powyżej ilości minimalnej;11,00;SZT;TP;11,00;1,00;0,00;0,00;0,00;138,16
RCA-250/200;Redukcja asymetryczna RCA-250/200;20,12;16,77;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;20,12
RCA-400/250-U-ASYM;Redukcja segmentowa RCS-400/250 z uszczelką asymetryczna;56,63;47,19;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;56,63
RCA-400/355U;Redukcja segmentowa RCS-400/355 z uszczelką asymetryczna;64,90;54,08;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;64,90
RCP -315/250;"Redukcja wentylacyjna RCP-315/250
";17,41;13,66;Stan towaru powyżej ilości minimalnej;85,00;SZT;TZ;85,00;0,00;0,00;0,00;50,00;1 479,85
RCP-125/100U;Redukcja wentylacyjna RCP-125/100U z uszczelką;10,00;8,00;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;0,00;80,00
RCP-160/125U;Redukcja wentylacyjna RCP-160/125U z uszczelką;12,38;10,00;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;0,00;99,04
RCP-160/80;Redukcja wentylacyjna RCP-160/80;10,80;9,00;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;21,60
RCP-200/125 (CN);Redukcja wentylacyjna RCP-200/125;7,02;0,01;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;3,50;0,00;0,00;0,00;35,10
RCP-200/160U;Redukcja wentylacyjna RCP-200/160 z uszczelką;16,61;14,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,00;0,00;0,00;0,00;66,44
RCP-250/160U;Redukcja wentylacyjna RCP-250/160U z uszczelką;35,60;15,00;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;106,80
RCP-250/200U;Redukcja wentylacyjna RCP-250/200U z uszczelką;25,90;19,00;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;0,00;155,40
RCS-400/250 ASYM.;Redukcja segmentowa RCS-400/250 asymetryczna;46,64;38,87;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;8,00;46,64
RCS-400/355;Redukcja segmentowa RCS-400/355;44,40;37,00;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,50;0,00;0,00;6,00;222,00
RCT-100/80 (CN);Redukcja wentylacyjna RCT-100/80;5,04;0,01;Stan towaru powyżej ilości minimalnej;180,00;SZT;TZ;180,00;0,50;0,00;0,00;0,00;907,20
RCT-1100/710;Redukcja wentylacyjna RCT-1100/710;97,39;81,16;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;97,39
RCT-125/100;Redukcja wentylacyjna RCT-125/100;4,70;4,29;Stan towaru powyżej ilości minimalnej;116,00;SZT;TP;116,00;26,00;0,00;0,00;40,00;545,20
RCT-125/80 (CN);Redukcja wentylacyjna RCT-125/80;5,16;0,01;Stan towaru powyżej ilości minimalnej;382,00;SZT;TZ;382,00;0,50;0,00;0,00;0,00;1 971,12
RCT-160/100 (CN);Redukcja wentylacyjna RCT-160/100;7,87;0,01;Stan towaru powyżej ilości minimalnej;883,00;SZT;TP;883,00;11,00;0,00;0,00;10,00;6 949,21
RCT-160/125;Redukcja wentylacyjna RCT-160/125;6,16;5,13;Stan towaru powyżej ilości minimalnej;83,00;SZT;TP;83,00;38,50;0,00;0,00;0,00;511,28
RCT-180/160 (CN);Redukcja wentylacyjna RCT-180/160;9,94;0,01;Stan towaru powyżej ilości minimalnej;74,00;SZT;TZ;74,00;0,00;0,00;0,00;0,00;735,56
RCT-200/100;Redukcja wentylacyjna RCT-200/100;11,52;0,01;Stan towaru powyżej ilości minimalnej;518,00;SZT;TP;518,00;2,00;0,00;0,00;0,00;5 967,36
RCT-200/125;Redukcja wentylacyjna RCT-200/125;10,04;0,01;Stan towaru powyżej ilości minimalnej;220,00;SZT;TP;220,00;9,50;0,00;0,00;30,00;2 208,80
RCT-200/160;Redukcja wentylacyjna RCT-200/160;10,19;7,91;Stan towaru powyżej ilości minimalnej;103,00;SZT;TP;101,00;52,00;2,00;0,00;80,00;1 049,57
RCT-200/180;Redukcja wentylacyjna RCP-200/180 mufa/mufa;24,00;20,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;24,00
RCT-250/100;Redukcja wentylacyjna RCT-250/100;23,41;15,61;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,50;0,00;0,00;3,00;140,46
RCT-250/125;Redukcja wentylacyjna RCT-250/125;18,48;15,40;Stan towaru powyżej ilości minimalnej;57,00;SZT;TP;57,00;2,00;0,00;0,00;0,00;1 053,36
RCT-250/160;Redukcja wentylacyjna RCT-250/160;12,65;0,01;Stan towaru powyżej ilości minimalnej;62,00;SZT;TP;62,00;1,00;0,00;0,00;0,00;784,30
RCT-250/200;Redukcja wentylacyjna RCT-250/200;12,00;10,10;Stan towaru powyżej ilości minimalnej;68,00;SZT;TP;68,00;36,00;0,00;0,00;80,00;816,00
RCT-280/200;Redukcja wentylacyjna RCT-280/200;26,64;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;26,64
RCT-280/250;Redukcja wentylacyjna RCT-280/250;30,00;19,58;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;90,00
RCT-315/125;Redukcja wentylacyjna RCT-315/125;25,38;20,00;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;3,00;50,76
RCT-315/160;Redukcja wentylacyjna RCT-315/160;23,14;0,01;Stan towaru powyżej ilości minimalnej;409,00;SZT;TP;409,00;7,50;0,00;0,00;0,00;9 464,26
RCT-315/200;Redukcja wentylacyjna RCT-315/200;19,38;0,01;Stan towaru powyżej ilości minimalnej;16,00;SZT;TP;16,00;3,00;0,00;0,00;0,00;310,08
RCT-315/225;Redukcja wentylacyjna RCT-315/225;28,24;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;28,24
RCT-355/160;Redukcja wentylacyjna RCT-355/160;36,77;0,01;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;73,54
RCT-355/200;Redukcja wentylacyjna RCT-355/200;28,75;23,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,50;0,00;0,00;5,00;28,75
RCT-355/250;Redukcja wentylacyjna RCT-355/250;27,39;21,91;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;2,00;0,00;0,00;25,00;109,56
RCT-355/315;Redukcja wentylacyjna RCT-355/315;23,75;19,00;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,50;0,00;0,00;21,00;142,50
RCT-400/200;Redukcja wentylacyjna RCT-400/200;48,60;37,50;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;8,00;388,80
RCT-400/250;Redukcja wentylacyjna RCT-400/250;45,60;38,00;Stan towaru poniżej ilości minimalnej;2,00;SZT;TP;2,00;3,00;0,00;0,00;5,00;91,20
RCT-400/315;Redukcja wentylacyjna RCT-400/315;49,20;41,00;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;44,00;344,40
RCT-400/315X;Redukcja wentylacyjna RCT-400/315 nierdzewna;105,43;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;105,43
RCT-450/200;Redukcja wentylacyjna RCT-450/200;57,69;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,50;0,00;0,00;3,00;57,69
RCT-450/250;Redukcja wentylacyjna RCT-450/250;51,25;0,01;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;2,00;307,50
RCT-450/315;Redukcja wentylacyjna RCT-450/315;55,20;46,00;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;276,00
RCT-450/355;Redukcja wentylacyjna RCT-450/355;55,20;46,00;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;7,00;441,60
RCT-450/400;Redukcja wentylacyjna RCT-450/400;60,00;46,00;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;15,00;120,00
RCT-500/200;Redukcja wentylacyjna RCT-500/200;75,85;0,01;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;2,00;455,10
RCT-500/250;Redukcja wentylacyjna RCT-500/250;62,50;50,00;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;3,00;187,50
RCT-500/315;Redukcja wentylacyjna RCT-500/315;45,76;0,01;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;2,00;274,56
RCT-500/355;Redukcja wentylacyjna RCT-500/355;97,92;0,01;Stan towaru powyżej ilości minimalnej;12,00;SZT;TP;12,00;0,00;0,00;0,00;3,00;1 175,04
RCT--500/400;Redukcja segmentowa RCT-500/400;65,00;58,00;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;1,00;0,00;0,00;0,00;455,00
RCT-500/450;Redukcja wentylacyjna RCT-500/450;69,60;56,00;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,00;0,00;0,00;18,00;417,60
RCT-710/500;Redukcja wentylacyjna RCT-710/500;173,45;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;173,45
RCT-900/500;Redukcja wentylacyjna RCT-900/500;63,78;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;63,78
REFLEKTOR LED ZE STATYWEM;Reflektor LED ze statywem IP65 2x50W;247,91;206,59;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;247,91
REKUPERATOR HAVACO AIRO+ 160;Rekuperator ścienny Havaco AIRO+ d=160;758,07;689,15;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;758,07
RĘKAWICE RECA EASY WORK R10;Rękawice RECA EASY WORK r.10;1,25;1,00;Stan towaru powyżej ilości minimalnej;1,00;para;TP;1,00;0,00;0,00;0,00;0,00;1,25
RĘKAWICE RECA ŻÓŁTE R10;Rękawice RECA LATEX FOAM żółte r.10;17,00;0,01;Stan towaru powyżej ilości minimalnej;10,00;para;TP;10,00;0,00;0,00;0,00;0,00;170,00
RĘKAWICE WURTH THERMO;Rękawice robocze THERMO Wurth;27,54;23,95;Stan towaru powyżej ilości minimalnej;3,00;para;TP;3,00;0,00;0,00;0,00;0,00;82,62
RĘKAWICE WURTH TIGER;Rękawice robocze Wurth Tigerflex Plus;15,53;13,50;Stan towaru powyżej ilości minimalnej;38,00;para;TP;38,00;14,50;0,00;0,00;0,00;590,14
RĘKAWICE WURTH TIGER OCIEPLANA;Rękawice robocze Wurth Tiger ocieplana ;27,54;23,95;Stan towaru powyżej ilości minimalnej;27,00;para;TP;27,00;0,00;0,00;0,00;14,00;743,58
RM 125/450EC;RM 125/450EC Promieniowy wentylator kanałowy. Silnik EC. 1~230V. Sterowanie 0-10V;714,78;595,65;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;714,78
RM 160/650EC;RM 160/650EC Promieniowy wentylator kanałowy. Silnik EC. 1~230V. Sterowanie 0-10V ;747,27;649,80;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;747,27
ROCKWOOL30MM LAMELLA MAT;Rockwool Lamella mat 030 mm 8m2/op;16,24;14,76;Stan towaru powyżej ilości minimalnej;24,00;m.kw;TP;24,00;0,00;0,00;0,00;0,00;389,76
ROZETA PVC;Rozeta PVC ODWR 80 do koryta;8,97;7,80;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;17,94
ROZETAFI100 (P);Rozeta ocynk fi 100;5,59;0,72;Stan towaru powyżej ilości minimalnej;10,00;SZT;TZ;10,00;0,00;0,00;0,00;0,00;55,90
ROZETAFI125 (P);Rozeta ocynk fi 125;6,46;0,84;Stan towaru powyżej ilości minimalnej;10,00;SZT;TZ;10,00;0,00;0,00;0,00;0,00;64,60
ROZETAFI160 (P);Rozeta ocynk fi 160;7,68;1,00;Stan towaru powyżej ilości minimalnej;9,00;SZT;TZ;9,00;0,00;0,00;0,00;0,00;69,12
ROZETAFI200 (P);Rozeta ocynk fi 200;9,07;1,20;Stan towaru powyżej ilości minimalnej;5,00;SZT;TZ;5,00;0,00;0,00;0,00;0,00;45,35
ROZETAFI250 (P);Rozeta ocynk fi 250;10,81;1,40;Stan towaru powyżej ilości minimalnej;10,00;SZT;TZ;10,00;0,00;0,00;0,00;0,00;108,10
ROZETAFI315 (P);Rozeta ocynk fi 315;13,07;1,72;Stan towaru powyżej ilości minimalnej;9,00;SZT;TZ;9,00;0,00;0,00;0,00;0,00;117,63
RS-1-400;"Tyrystorowy regulator prędkości, 1-fazowy, max 1,8 A, montaż podtynkowy RS-1-400
";127,38;106,15;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;127,38
RURKA DO SKROPLIN TU18/30;Rura do skroplin karbowana TU18/30;97,20;82,00;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,50;0,00;0,00;0,00;583,20
SILIKON LAKMA UNIW;Silikon neutralny szary Lakma ;12,72;10,60;Stan towaru powyżej ilości minimalnej;1 266,00;SZT;TP;1 266,00;0,00;0,00;0,00;0,00;16 103,52
SILIKON UNIWERSALNY STINGER;Silikon neutralny STINGER 280ml;9,50;8,00;Stan towaru powyżej ilości minimalnej;12,00;SZT;TP;12,00;0,00;0,00;0,00;0,00;114,00
SILIKONWYSOKOTEMP;Silikon wysokotemperaturowy 300ml;33,50;22,08;Stan towaru powyżej ilości minimalnej;47,00;SZT;TP;47,00;3,00;0,00;0,00;4,00;1 574,50
SILNIK WENTYLATORA AIRDOG X3;Silnik wentylatora Airdog X3;0,00;0,00;Usługa;0,00;SZT;UP;0,00;0,00;0,00;0,00;0,00;0,00
SILNIK WENTYLATORA AIRDOG X5;Silnik wentylatora Airdog X5;0,00;0,00;Usługa;0,00;SZT;UP;0,00;0,00;0,00;0,00;0,00;0,00
SKN-A1-P/100;Skrzynka rozprężna nawiewnika SKN-A1-P ( do nawiewnika AN-4 295x295 );46,25;37,00;Stan towaru powyżej ilości minimalnej;6,00;Szt.;TP;6,00;0,00;0,00;0,00;0,00;277,50
SKN-N3-P/125;Skrzynka rozprężna nawiewnika SKN-N3/ fi ( do nawiewnika SWC/SWR 500 );196,53;80,00;Stan towaru powyżej ilości minimalnej;1,00;Szt.;TP;1,00;0,00;0,00;0,00;0,00;196,53
SKORBAK WURTH;Teleskopowy skorbak ze szczotką Wurth;97,75;85,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;97,75
SKRZYNKA 1-75-125;Skrzynka rozprężna 1-75-125;42,30;34,50;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;1,00;0,00;0,00;0,00;169,20
SKRZYNKA 3-50-125 Z GUM;Skrzynka rozprężna 3-50-125 z gumowym króćcem samouszczelniająca SOL-FLEX ;67,80;56,50;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,50;0,00;0,00;0,00;203,40
SMART CLEANAIR 0,5L;SMART CleanAir 0,5l Preparat do czyszczenia klimatyzatorów;26,91;24,57;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;0,00;188,37
SMART CLEANAIR 0,5L AKT;SMART CleanAir Active 0,5l Preparat do czyszczenia klimatyzatorów (biobójczy);33,64;29,25;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;302,76
SMART CLEANAIR 5L;SMART CleanAir 5l Preparat do czyszczenia klimatyzatorów;116,61;101,40;Stan towaru powyżej ilości minimalnej;11,00;SZT;TP;11,00;0,00;0,00;0,00;0,00;1 282,71
SMART CLEANAIR ACTIVE 1L;SMART CleanAir Activ 1L;38,87;33,80;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,50;0,00;0,00;0,00;155,48
SMART CLEANAIR ACTIVE 5L;SMART CleanAir Active 5l Preparat do czyszczenia klimatyzatorów (AKTYWNA PIANA);123,34;107,25;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;246,68
SMART CLEANAIR AUTO 250ML MANDARYNKA;SMART CleanAir Auto 250ml Preparat do odświeżania klimatyzacji (mandarynka);21,07;20,52;Stan towaru powyżej ilości minimalnej;18,00;SZT;TP;18,00;0,50;0,00;0,00;0,00;379,26
SMART CLEANAIR AUTO 250ML NEUTRAL;SMART cleanAir Auto 250ml Preparat do odświeżania klimatyzacji (neutral);21,07;17,75;Stan towaru powyżej ilości minimalnej;20,00;SZT;TP;20,00;0,00;0,00;0,00;0,00;421,40
SMART CLEANAIR BIOBÓJCZY 5L;SMART CleanAir Active 5l Preparat do czyszczenia klimatyzatorów (BIOBÓJCZY);134,55;117,00;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,50;0,00;0,00;0,00;403,65
