Kod;Nazwa;Cena;C. zakupu-PLN;Stan zasobów;Ilość;Jm;Typ;Ilość dostępna;Ilość minimalna;Rezerwacje;Braki;Zamówienia;Wartość-PLN
BS-180/90;Kolano segmentowe BS-180/90;26,86;22,38;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;53,72
BS-225/90;Kolano segmentowe BS-225/90;24,00;20,00;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;25,00;192,00
BS-250/45;Kolano segmentowe BS-250/45;18,00;15,00;Stan towaru powyżej ilości minimalnej;51,00;SZT;TP;51,00;21,50;0,00;0,00;195,00;918,00
BS-250/45 U;Kolano segmentowe BS-250/45 z uszczelką;23,43;12,20;Stan towaru poniżej ilości minimalnej;1,00;SZT;TP;1,00;1,50;0,00;0,00;0,00;23,43
BS-250/45X;Kolano segmentowe BS-250/45 nierdzewne;93,37;77,81;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;466,85
BS-250/60;Kolano segmentowe BS-250/60;21,00;17,50;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;21,00
BS-250/90;Kolano segmentowe BS-250/90;25,20;20,00;Stan towaru powyżej ilości minimalnej;64,00;SZT;TP;64,00;55,50;0,00;0,00;793,00;1 612,80
BS-250/90X;Kolano segmentowe BS-250/90 nierdzewne;143,57;0,01;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;430,71
BS-280/45;Kolano segmentowe BS-280/45;20,40;15,00;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;0,00;163,20
BS-315/45;Kolano segmentowe BS-315/45;23,75;20,00;Stan towaru powyżej ilości minimalnej;18,00;SZT;TP;18,00;5,50;0,00;0,00;80,00;427,50
BS-315/90;Kolano segmentowe BS-315/90;34,80;29,00;Stan towaru powyżej ilości minimalnej;61,00;SZT;TP;61,00;25,00;0,00;0,00;203,00;2 122,80
BS-355/45;Kolano segmentowe BS-355/45;27,60;23,20;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;1,00;0,00;0,00;6,00;248,40
BS-355/45U;Kolano segmentowe BS-355/45U z uszczelką;38,56;32,13;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;38,56
BS-355/90;Kolano segmentowe BS-355/90;44,40;36,20;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;4,00;0,00;0,00;13,00;222,00
BS-400/45;Kolano segmentowe BS-400/45;32,40;27,00;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;3,00;0,00;0,00;15,00;162,00
BS-400/45X;Kolano segmentowe BS-400/45 nierdzewne;100,32;77,17;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;200,64
BS-400/90;Kolano segmentowe BS-400/90;53,44;44,53;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;6,00;0,00;0,00;29,00;480,96
BS-450/45;Kolano segmentowe BS-450/45;50,00;40,00;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;5,00;150,00
BS-450/90;Kolano segmentowe BS-450/90;87,60;73,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;15,00;87,60
BS-500/45;Kolano segmentowe BS-500/45;54,00;45,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;1,00;0,00;0,00;8,00;216,00
BS-500/90;Kolano segmentowe BS-500/90;102,00;87,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;3,00;0,00;0,00;15,00;408,00
BS-560/45;Kolano segmentowe BS-560/45;94,19;78,49;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;94,19
BS-630/30;Kolano segmentowe BS-630/30;140,70;63,20;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;422,10
BS-630/45;Kolano segmentowe BS-630/45;118,56;83,39;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;1,00;118,56
BS-710/30;Kolano segmentowe BS-710/30;299,29;199,06;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;299,29
BSILN315/135ST;Wyrzutnia dachowa 135st okrągła fi 315 osiatkowana;90,00;49,70;Stan towaru powyżej ilości minimalnej;1,00;SZT;TZ;1,00;0,00;0,00;0,00;0,00;90,00
CENTRALA;Centrala Klimor MCKH022350R/MCKH021320L + automatyka;27 545,38;27 184,10;Usługa;0,00;SZT;UP;0,00;0,00;0,00;0,00;0,00;0,00
CFDM-160 EIS 60;Klapa Ppoż EIS 60 CFDM.01 fi 160 (klapa motylkowa);83,35;69,46;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;0,00;583,45
COMBIFLEX 127;Przewód elastyczny nieizolowany Combiflex 127mm;6,04;5,04;Stan towaru poniżej ilości minimalnej;10,00;mb;TP;10,00;645,00;0,00;0,00;0,00;60,40
COMO DESIGN 100HT;Wentylator łazienkowy COMO Design 100HT;127,77;107,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,00;0,00;0,00;0,00;511,08
COMO DESIGN 100T;Wentylator łazienkowy Como Design 100T;127,13;110,55;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;381,39
